0d1n 1:263.2d723ae-1
python-instagram-private-api 1.6.0.0-1
python-instagramapi 1.0.2-4
python-installer 0.7.0-1
python-intervals 0.9.2-3
python-intervaltree 3.1.0-5
python-ip2location 8.9.0-1
python-ipaddr 2.2.0-6
python-ipapi 1.0.4-3
python-ipdb 0.13.12-1
python-ipgetter 0.7-5
python-ipparser 0.3.8-3
python-iptools 0.7.0-5
python-ipwhois 1.2.0-3
python-ipy 1.01-3
python-ipykernel 6.22.0-1
python-ipython-genutils 0.2.0-1
python-isc_dhcp_leases 0.9.1-6
python-iso3166 2.1.1-1
python-isort 5.12.0-1
python-itanium-demangler 1.1-1
python-itemadapter 0.7.0-1
python-itemloaders 1.0.6-1
python-itsdangerous 2.1.2-2
python-ivre 0.9.20.dev32-1
python-jaraco.classes 3.2.3-1
python-jaraco.collections 3.5.2-1
python-jaraco.context 4.3.0-1
python-jaraco.functools 3.6.0-1
python-jaraco.text 3.11.1-1
python-jarowinkler 1.2.3-1
python-jedi 0.18.2-1
python-jeepney 0.8.0-1
python-jellyfish 0.9.1-2
python-jinja 1:3.1.2-2
python-jinja-time 0.2.0-8
python-jmespath 1.0.1-1
python-joblib 1.2.0-1
python-jose 3.3.0-3
python-jproperties v2.1.1.r0.gaffc3e7-2
python-jq 1.4.1-1
python-jsbeautifier 1.14.7-1
python-jschema-to-python 1.2.3-3
python-jsmin 2.2.2-4
python-json-logger 2.0.7-1
python-json2html 1.3.0-4
python-jsonlines 3.1.0-1
python-jsonpickle 3.0.1-2
python-jsonrpclib-pelix 0.4.3.2-1
python-jsonschema 4.17.3-1
python-jsonschema-spec 0.1.2-1
python-jupyter-client 8.1.0-1
python-jupyter-core 5.3.0-1
python-jwcrypto 1.4.2-1
python-kaitaistruct 0.10-1
python-keras 2.11.0-2
python-keras-applications 1.0.8-8
python-keras-preprocessing 1.1.2-6
python-keyboard 0.13.5-3
python-keylogger 2.7.3-7
python-keyring 23.11.0-1
python-keystone 0.9.2-3
python-kill 2020.12.3-2
python-kismet-rest 2020.5.1-3
python-kiwisolver 1.4.4-2
python-kombu 5.2.4-1
python-kubernetes 26.1.0-1
python-kwconfig 1.1.7-4
python-langdetect 1.0.9-3
python-lark-parser 1.1.5-1
python-lazy-object-proxy 1.9.0-1
python-ldap 3.4.3-2
python-ldap0 1.4.10-1
python-ldap3 2.9.1-3
python-ldaptor 21.2.0-1
python-levenshtein 0.20.9-1
python-libarchive 0.4.7-4
python-libforensic1394 0.2-9
python-libkeepass 0.3.1.post1-5
python-libmagic 1.0-4
python-libsast 1.5.2-2
python-libtaxii 1.1.119-2
python-limits 3.2.0-1
python-litecli 1.7.0-2
python-livereload 2.6.3-2
python-lml 0.1.0-3
python-lockfile 0.12.2-11
python-log_symbols 0.0.14-4
python-logbook 1.5.3-11
python-loguru 0.6.0-2
python-logutils 0.3.5-11
python-lsassy v3.1.6.r2.g33fb1be-1
python-lsp-jsonrpc 1.0.0-3
python-luhn 0.2.0.r1.gc26e5c6-2
python-lxml 4.9.2-1
python-lz4 3.1.10-7
python-m2crypto 0.38.0-4
python-mac-alias 2.2.0-2
python-macholib 1.16.2-1
python-maclookup 1.0.3-4
python-magic 1:0.4.27-1
python-mako 1.2.4-1
python-markdown 3.4.3-1
python-markdown-it-py 2.2.0-1
python-markupsafe 2.1.2-1
python-marshmallow 3.19.0-1
python-marshmallow-enum 1.5.1-1
python-marshmallow-sqlalchemy 0.29.0-1
python-masky 0.2.0-1
python-matplotlib 3.7.1-1
python-matplotlib-inline 0.1.6-2
python-maxminddb 2.2.0-5
python-mccabe 0.7.0-1
python-mdurl 0.1.2-2
python-mechanicalsoup 1.2.0-1
python-mechanize 1:0.4.8-1
python-memcached 1.59-10
python-mido 1.2.10-1
python-mimeparse 1.6.0-10
python-mimerender 0.6.0-7
python-minidump 0.0.21-2
python-minikerberos 1:0.4.0-2
python-mistune 2.0.5-1
python-mitmproxy-wireguard 0.1.20-1
python-mixbox 1.0.5-3
python-mmbot 78.f5f5478-3
python-mmh3 3.0.0-2
python-mock 3.0.5-9
python-mockito 1.4.0-1
python-modbus-tk 1:1.1.3-1
python-mongoengine 0.24.2-1
python-mongomock 4.0.0-1
python-monotonic 1.6-3
python-more-itertools 9.1.1-1
python-moviepy 1.0.3-4
python-mox3 1.1.0-5
python-mpmath 1.3.0-1
python-msal 1.21.0-1
python-msgpack 1.0.4-1
python-msldap 0.4.7-1
python-msoffcrypto-tool 5.0.0-1
python-mulpyplexer 0.9-1
python-multidict 6.0.3-2
python-munge 1.2.1-2
python-murmurhash 1.0.9-1
python-mutagen 1.46.0-1
python-mypy_extensions 1.0.0-1
python-mysql-connector 8.0.32-1
python-mysqlclient 2.1.1-1
python-names 1:0.3.0-5
python-nampa 1.0-2
python-nassl 1:5.0.0-1
python-natsort 8.3.1-1
python-ndg-httpsclient 0.5.1-11
python-neo4j-driver 4.4.10-1
python-neobolt 1.7.17-3
python-neotime 1.7.4-4
python-nest-asyncio 1.5.6-1
python-netaddr 0.8.0-5
python-netifaces 0.11.0-3
python-networkx 2.8.8-1
python-nodeenv 1.7.0-1
python-normality 2.3.3-1
python-nose 1.3.7-14
python-notifiers 1.3.3-1
python-notify2 0.3.1-7
python-nplusone 1.0.0-5
python-ntlm-auth 1.5.0-6
python-numpy 1.24.2-1
python-numpydoc 1.5.0-1
python-oauth2 1.9.0.post1-10
python-oauthlib 3.2.2-1
python-odfpy 1.4.2-3
python-odict 1.9.0-1
python-olefile 0.46-5
python-oletools 1:0.60.1-2
python-omitempty 0.1.1-2
python-openapi-schema-validator 0.4.4-1
python-openapi-spec-validator 0.5.6-1
python-opengl 3.1.6-1
python-openpyxl 3.1.2-1
python-openstep-parser 1.5.4-1
python-opt_einsum 3.3.0-5
python-optparse-pretty 0.1.1-5
python-ordered-set 4.1.0-1
python-ordereddict 1.1-6
python-orderedmultidict 1.0.1-9
python-orjson 3.8.9-1
python-oscrypto 1.3.0-3
python-outcome 1.2.0-2
python-packaging 23.0-1
python-pager 3.3-7
python-paho-mqtt 1.6.1-1
python-pallets-sphinx-themes 2.0.2-1
python-pandas 1.5.3-1
python-parameterized 0.8.1-3
python-paramiko 2.11.1-1
python-parse 1.19.0-3
python-parsel 1.7.0-1
python-parso 1:0.8.3-1
python-passlib 1.7.4-5
python-pasta 0.2.0-6
python-pathable 0.4.3-1
python-pathlib 1.0.1-2
python-pathlib2 2.3.7.post1-1
python-pathspec 0.11.1-1
python-pbkdf2 1.3-10
python-pbr 5.11.1-3
python-pcapy 1.0.5-1
python-pcodedmp 1.2.6-5
python-pdfkit 1.0.0-2
python-pdfminer 20221105-1
python-peewee 3.15.4-1
python-pefile 2022.5.30-1
python-pem 21.2.0-2
python-pendulum 2.1.2-7
python-pep517 0.13.0-2
python-pep8 1.7.1-5
python-persistent 4.9.3-1
python-pexpect 4.8.0-6
python-pgcli 3.5.0-1
python-pgpdump 1.5-4
python-pgrep 2020.12.3-2
python-pgspecial 2.0.1-1
python-phonenumbers 8.13.8-1
python-phpserialize 1.3-10
python-pick 2.2.0-1
python-pickleshare 0.7.5-8
python-pika 1.2.1-1
python-pikepdf 7.1.2-1
python-pillow 9.4.0-2
python-pillow6 6.2.2-1
python-pip 23.0.1-1
python-pip-shims 0.7.3-1
python-piplapis-python 5.2.3-1
python-pipx 1.1.0-1
python-pkginfo 1.9.6-1
python-plac 1.3.5-1
python-platformdirs 3.1.1-1
python-play-scraper 0.6.0-4
python-plette 0.4.4-1
python-plotly 5.13.1-1
python-pluggy 1.0.0-2
python-pluginbase 1.0.1-2
python-plumbum 1.8.1-1
python-ply 3.11-10
python-pmw 2.1.1-1
python-poetry 1.4.1-1
python-poetry-core 1.5.2-1
python-poetry-plugin-export 1.3.0-1
python-pooch 1.7.0-1
python-poormanslogging 1.1-5
python-portend 3.1.0-1
python-ppdeep 20200505-3
python-pre-commit 2.20.0-2
python-prefixed 0.7.0-1
python-preshed 3.0.8-1
python-prettytable 3.6.0-2
python-priority 2.0.0-3
python-proglog 0.1.10-1
python-progress 1.6-6
python-progressbar 4.2.0-1
python-prometheus_client 0.16.0-1
python-prompt_toolkit 3.0.38-1
python-property 2.4-1
python-prospector 1.9.0-1
python-protego 0.2.1-1
python-protobuf 21.12-1
python-proxy-db 0.3.1-4
python-proxylist 0.1.4-4
python-psrpcore 0.2.1-1
python-psutil 5.9.4-1
python-psycopg 3.1.8-1
python-psycopg2 2.9.5-1
python-ptable-boxchar 242.4aa17e1-3
python-ptrace 0.9.8-3
python-ptyprocess 0.7.0-4
python-publicsuffix2 2.20191221-6
python-publicsuffixlist 0.9.3-1
python-pure-eval 0.2.2-2
python-puremagic 1.14-2
python-py 1.11.0-2
python-py3dns 3.2.1-2
python-pyaes 1.6.1-9
python-pyaml 21.10.1-1
python-pyasn1 0.4.8-7
python-pyasn1-modules 0.2.8-6
python-pyautogui 0.9.53-2
python-pybase64 1.2.3-1
python-pycares 4.3.0-1
python-pycodestyle 2.10.0-1
python-pycountry 22.3.5-1
python-pycparser 2.21-3
python-pycryptodome 3.17.0-1
python-pycryptodomex 3.12.0-1
python-pycurl 7.45.2-1
python-pydantic 1.10.7-2
python-pydeep 0.4-5
python-pydes 2.0.1-7
python-pydispatcher 2.0.6-2
python-pydnet 1.0-7
python-pydot 1.4.2-3
python-pydotplus 2.0.2-7
python-pyee 9.0.4-2
python-pyelftools 0.29-1
python-pyenchant 3.2.2-1
python-pyevmasm 0.2.3-3
python-pyexcel 0.7.0-1
python-pyexcel-io 0.6.6-1
python-pyexcel-ods 0.6.0-3
python-pyexcel-text 0.2.7.1-3
python-pyexcel-xls 0.7.0-2
python-pyexcel-xlsx 0.6.0-3
python-pyexifinfo 0.4.0-4
python-pyexiftool 1:0.1.1-3
python-pyfiglet 0.8.post1-6
python-pyflakes 3.0.1-2
python-pyftpdlib 1.5.7-2
python-pygdbmi 0.11.0.0-1
python-pygeoip 0.3.2-9
python-pygexf 0.2.2-3
python-pyghmi 1.5.59-1
python-pygit2 1.11.1-2
python-pygments 2.14.0-2
python-pygraphviz 1:1.5-8
python-pyhibp 4.2.0-2
python-pyicu 2.10.2-1
python-pyjsparser 2.7.1-9
python-pyjwt 2.6.0-1
python-pylatex 1.4.1-3
python-pylibemu 0.8-1
python-pylint 2.17.1-1
python-pylnk3 0.4.2-3
python-pylstar 0.1.2-5
python-pylzma 0.5.0-6
python-pymemcache 4.0.0-1
python-pyminifier 2.1-6
python-pymisp 2.4.168-1
python-pymongo 4.3.3-1
python-pymssql 2.2.5-1
python-pymsteams 0.2.2-1
python-pymysql 1.0.3-1
python-pynacl 1.4.0-5
python-pyngrok 5.2.1-1
python-pynput 1.7.6-1
python-pyodbc 4.0.35-1
python-pyopenssl 23.1.1-1
python-pypacker 5.4-1
python-pypandoc 1.11-1
python-pyparsing 3.0.9-1
python-pypcode 1.1.0-1
python-pypdf2 1:1.28.5-1
python-pypdns 2.0.0-1
python-pype32 0.1-8
python-pyperclip 1.8.2-4
python-pypng 0.0.21-3
python-pyppeteer 1.0.2-2
python-pyproject-hooks 1.0.0-1
python-pypsrp 1:0.8.1-1
python-pypssl 2.2-2
python-pypubsub 4.0.3-4
python-pypugjs 5.9.12-2
python-pypykatz 0.6.6-1
python-pyqodeng-core 0.0.4-1
python-pyqt4 4.12.3-11
python-pyqt5 5.15.9-1
python-pyqt5-sip 12.11.1-1
python-pyqt5-webengine 5.15.6-1
python-pyqtgraph 0.13.2-1
python-pyquery 2.0.0-1
python-pyric 184.bc0dce3-4
python-pyrsistent 0.19.3-1
python-pyserial 3.5-4
python-pysha3 1.0.2-6
python-pyshark 0.5.3-1
python-pyside 1.2.4-13
python-pyside-common 1.2.4-13
python-pysigset 0.4.0-2
python-pysmb 1.2.9.1-1
python-pysmi 0.3.4-8
python-pysmt 0.9.5-1
python-pysnmp 4.4.12-5
python-pysocks 1.7.1-7
python-pyspf 2.0.14-2
python-pyspnego 0.7.0-1
python-pysqlite3 0.4.7-1
python-pystache 0.6.1-1
python-pystrich 0.8-6
python-pytanque 1.1.0-3
python-pytesseract 0.3.10-1
python-pytest 7.2.2-1
python-pytest-cov 4.0.0-1
python-pytest-timeout 2.1.0-1
python-pytest-xdist 3.2.1-1
python-python-bidi 0.4.2-2
python-python-cli-ui 0.7.5-4
python-python-crontab 2.7.1-1
python-python-docx 0.8.11-2
python-python-dxf 10.0.0-1
python-python-emailahoy3 0.1.3-3
python-python-flirt 0.8.6-1
python-python-geoip 1.2-6
python-python-libnmap 0.7.2-2
python-python-libpcap 0.4.1-1
python-python-magic 0.4.18-3
python-python-masscan 1.0.0-1
python-python-nmap 0.6.4-2
python-python-openflow 1:2021.1-2
python-python-pptx 0.6.21-2
python-python-pushsafer 1.1-1
python-python-registry 1.3.1-5
python-python-rle 0.0.3-1
python-python-socks 2.0.3-2
python-python-whois 0.8.0-1
python-pythonaes 1.0-4
python-pythonwhois 2.4.3-7
python-pytoml 0.1.21-7
python-pytsk3 20230125-1
python-pytz 2022.7.1-1
python-pytz-deprecation-shim 0.1.0.post0-4
python-pytzdata 2020.1-7
python-pyusb 1.2.1-3
python-pyvex 9.2.26-1
python-pyvirtualdisplay 3.0-1
python-pyvis 0.3.1-1
python-pyvit 0.2.1-7
python-pywavelets 1.4.1-1
python-pywebcopy 7.0.2-1
python-pywerview 0.4.1-1
python-pyxcute 0.6.0-3
python-pyxdg 0.28-1
python-pyzmq 24.0.1-2
python-qdarkstyle 3.1-1
python-qrcode 7.4.2-1
python-qscintilla-qt4-common 1:2.10.4-1
python-qt4reactor 1.6-4
python-qtconsole 5.4.0-1
python-qtpy 2.3.0-1
python-quart 0.18.3-1
python-questionary 1.10.0-2
python-queuelib 1.6.2-2
python-r2pipe 5.7.2-1
python-rangeparser 0.1.3-5
python-rapidfuzz 2.13.7-1
python-rapidjson 1.10-1
python-rarfile 4.0-3
python-rdap 1.3.1-1
python-rdpy 1:1.3.2-12
python-readability-lxml 0.8.1-5
python-readchar 2.0.0-7
python-readme-renderer 37.3-2
python-redis 4.4.0-1
python-regex 2023.3.23-1
python-relatime 1.1.0-6
python-reportlab 3.6.12-2
python-request 1:1.0.117-3
python-requests 2.28.2-1
python-requests-cache 0.9.6-1
python-requests-file 1.5.1-5
python-requests-futures 1.0.0-4
python-requests-html 457.87a047d-1
python-requests-mock 1.10.0-1
python-requests-ntlm 1.1.0-8
python-requests-oauthlib 1.3.1-2
python-requests-toolbelt 0.10.1-1
python-requests-unixsocket 0.3.0-2
python-requestsexceptions 1.4.0-9
python-requirements-parser 0.2.0-4
python-requirementslib 2.2.4-1
python-responses 0.23.1-1
python-restkit 4.2.2-4
python-retry 0.9.2-2
python-retrying 1.3.3-15
python-rfc3339-validator 0.1.4-3
python-rfc3986 2.0.0-1
python-rich 13.3.3-1
python-ring 0.10.0-1
python-rjsmin 1.2.1-1
python-rlp 3.0.0-1
python-roca-detect 1.2.12-4
python-rpyc 5.3.1-1
python-rq 1.13.0-1
python-rsa 4.9-1
python-ruamel-yaml 0.17.21-1
python-ruamel.yaml.clib 0.2.7-1
python-rule 0.1.1-2
python-s3transfer 0.6.0-4
python-sarif-om 1.0.4-3
python-scandir 1.10.0-4
python-scapy 2.5.0-2
python-scapy-http 1.8.2-6
python-schedule 1.1.0-2
python-schema 0.7.5-1
python-scikit-image 0.18.3-1
python-scikit-learn 1.2.2-1
python-scipy 1.10.1-1
python-scp 0.14.5-1
python-screenutils 0.0.1.6.2-6
python-scruffington 0.3.8.2-2
python-scruffy 1:0.3-7
python-secretstorage 3.3.3-1
python-sectools 1.3.9-1
python-secure 0.3.0-2
python-selenium 3.141.0-5
python-selenium-wire 5.1.0-1
python-semver 2.13.0-5
python-sentinels 1.0.0-8
python-serpentarium 0.6.1-1
python-service-identity 21.1.0-4
python-setproctitle 1.3.2-1
python-setuptools 1:67.6.1-1
python-sgmllib3k 1.0.0-4
python-sh 1.14.3-1
python-shellingham 1.5.0.post1-3
python-shelljob 0.6.3-2
python-shiboken 1.2.4-9
python-shiboken2 5.15.8-6
python-shodan 1.28.0-1
python-simhash 1:2.1.2-2
python-simple-requests 1.1.1-9
python-simple-term-menu 1.6.1-1
python-simplejson 3.18.0-1
python-simplekv 0.14.1-3
python-simuvex 7.7.9.8-6
python-sip-pyqt4 4.19.24-2
python-six 1.16.0-6
python-slowaes 0.1a1-9
python-slowapi 0.1.7-1
python-slugify 8.0.1-1
python-smbprotocol 1.10.1-1
python-smmap 1:5.0.0-3
python-smoke-zephyr 2.0.1-2
python-snappy 0.6.1-2
python-sniffio 1.3.0-2
python-snowballstemmer 2.2.0-3
python-socid-extractor 0.0.23-2
python-socketio 5.7.2-1
python-socketpool 0.5.3-8
python-socks5line 0.0.4-3
python-socksio 1.0.0-1
python-sortedcontainers 2.4.0-3
python-soupsieve 2.4-1
python-spacy 3.5.1-1
python-spark-parser 1.8.9-4
python-speaklater 1.3-11
python-speechrecognition 3.8.1-8
python-sphinx 6.1.3-1
python-sphinx-alabaster-theme 0.7.13-1
python-sphinx-autobuild 2021.03.14-1
python-sphinx_rtd_theme 1.2.0-2
python-sphinxcontrib-applehelp 1.0.4-1
python-sphinxcontrib-devhelp 1.0.2-9
python-sphinxcontrib-htmlhelp 2.0.1-1
python-sphinxcontrib-httpdomain 1.8.1-1
python-sphinxcontrib-jquery 4.1-1
python-sphinxcontrib-jsmath 1.0.1-12
python-sphinxcontrib-qthelp 1.0.3-9
python-sphinxcontrib-serializinghtml 1.1.5-4
python-sphinxcontrib-websupport 1.2.4-3
python-spinners 0.0.24-3
python-splunk-sdk 1.7.3-1
python-spoofmac 2.1.1-5
python-sqlalchemy 1.4.44-1
python-sqlalchemy-utc 0.14.0-2
python-sqlalchemy-utils 0.38.3-2
python-sqlparse 0.4.3-1
python-srsly 2.4.6-1
python-ssdeep 3.4-5
python-ssh-mitm 3.0.2-1
python-sshpubkeys 3.3.1-3
python-sshtunnel 0.4.0-4
python-stack-data 0.6.2-1
python-starlette 0.26.1-1
python-steganography 0.1.1-7
python-stegoveritas-pfp 0.2.3-5
python-stegoveritas-py010parser 0.1.10-4
python-stem 1.8.1-1
python-stix 1.2.0.10-3
python-stix-validator 2.5.1-3
python-stix2 3.0.1-1
python-stix2-patterns 2.0.0-1
python-stone 3.3.1-2
python-stopit 1.1.2-5
python-strictyaml 1.7.3-1
python-stringdist 1.0.9-4
python-structlog 22.3.0-1
python-svgutils 0.3.4-1
python-swagger-ui-bundle 0.0.9-1
python-sympy 1.11.1-1
python-syslog-rfc5424-formatter 1.2.3-1
python-tabulate 0.9.0-1
python-tailer 0.4.1-6
python-taser 0.3.3-3
python-telethon 1:1.25.4-1
python-tempora 5.2.1-1
python-tensorboard_plugin_wit 1.8.1-4
python-tensorflow 2.12.0-1
python-tensorflow-estimator 2.12.0-1
python-termcolor 2.2.0-1
python-terminable-thread 0.7.1-2
python-terminaltables 3.1.0-9
python-termstyle 0.1.11-9
python-testtools 2.6.0-1
python-text-unidecode 1.3-8
python-textract 1.6.5-1
python-texttable 1.6.7-1
python-tftpy 0.8.2-1
python-thinc 8.1.9-1
python-threadpoolctl 3.1.0-1
python-thrift 0.18.1-1
python-timeout-decorator 0.5.0-3
python-tinydb 4.7.1-2
python-tld 0.13-1
python-tldextract 3.4.0-3
python-tls-parser 2.0.1-1
python-tlslite-ng 1:0.7.6-2
python-tokenize-rt 5.0.0-1
python-toml 0.10.2-8
python-tomli 2.0.1-1
python-tomlkit 0.11.6-1
python-toolz 0.12.0-1
python-torf 4.1.4-1
python-tornado 6.2.0-2
python-torrequest 0.1.0-4
python-tox 3.26.0-2
python-tqdm 4.65.0-1
python-trackerjacker 1.9.0-4
python-traitlets 5.9.0-1
python-trans 2.1.0-3
python-transaction 3.1.0-1
python-trio 0.22.0-2
python-trove-classifiers 2023.3.9-1
python-trufflehogregexes 0.0.7-4
python-tweepy 4.12.1-2
python-twisted 22.10.0-1
python-twitter 1.19.6-1
python-txaio 23.1.1-1
python-typeguard 2.13.3-1
python-typer 0.7.0-1
python-typing 3.10.0.0-2
python-typing_extensions 4.5.0-1
python-tzdata 2023.3-1
python-tzlocal 1:4.3-1
python-uc-micro-py 1.0.1-3
python-ujson 5.7.0-1
python-ulid-py 1.1.0-3
python-uncompyle6 3.9.0-1
python-unfurl 1:2021.06.15-2
python-unicodecsv 0.14.1-4
python-unicorn 2.0.1-1
python-unicrypto 0.0.9-1
python-unidecode 1.3.6-1
python-updog 1.4-1
python-uritemplate 4.1.1-1
python-url-normalize 1.4.3-3
python-urllib3 1.26.13-1
python-urlnorm 1.1.4-4
python-urwid 2.1.2-3
python-user-agent 0.1.9-4
python-userpath 1.8.0-1
python-utidylib 0.2-8
python-utils 3.5.2-1
python-uvicorn 0.18.2-1
python-uvloop 0.17.0-1
python-validate-email 1.3-9
python-validate-pyproject 0.12.2-1
python-validator-collection 1.5.0-3
python-validators 0.20.0-1
python-values 2020.12.3-2
python-vcrpy 4.2.1-2
python-verboselogs 1.7-4
python-veryprettytable 0.8.1-5
python-vine 5.0.0-5
python-virtualenv 20.17.1-1
python-virustotal-api 1.1.11-4
python-vistir 0.8.0-1
python-viv-utils 0.7.8-1
python-vulners 2.0.9-1
python-w3af-api-client 1:3.0.1-3
python-w3lib 2.1.1-1
python-wasabi 1.1.1-1
python-wasm 1.2-1
python-wayback 0.4.1-1
python-wcmatch 8.4.1-1
python-wcwidth 0.2.5-6
python-weakrefmethod 1.0.3-4
python-webargs 8.2.0-2
python-webdriver-manager 3.8.5-1
python-webencodings 0.5.1-9
python-websocket-client 1.5.1-1
python-websockets 10.4-1
python-werkzeug 2.2.3-1
python-wget 3.2-7
python-wheel 0.40.0-1
python-whichcraft 0.6.1-5
python-whitenoise 6.4.0-1
python-whoosh 2.7.4-9
python-win_inet_pton 1.1.0-5
python-winacl 0.1.7-1
python-wincertstore 0.2.1-2
python-winsspi 0.0.11-1
python-wireless 0.3.3-4
python-wirerope 0.4.7-1
python-witnessme 1:1.5.0-4
python-wrapt 1.14.1-1
python-wsaccel 0.6.4-1
python-wsproto 1.2.0-1
python-wtforms 3.0.1-1
python-www-authenticate 0.9.2-5
python-wxpython 1:4.2.0-3
python-xdis 6.0.5-1
python-xhtml2pdf 0.2.8-1
python-xlib 0.33-1
python-xlrd 2.0.1-3
python-xlsxwriter 3.0.8-1
python-xlutils 2.0.0-6
python-xlwt 1.3.0-6
python-xmind 1.2.0-2
python-xmltodict 0.13.0-2
python-xmp-toolkit 2.0.1-4
python-xpath-expressions 1.0.2-3
python-yagooglesearch 1.6.1-1
python-yaml 6.0-1
python-yara-rednaga 279.32b6a74-5
python-yarl 1.8.2-1
python-yaswfp 0.9.3-5
python-yattag 1.15.1-1
python-z3-solver 4.12.1-1
python-zc.lockfile 2.0-8
python-zconfig 3.6.1-1
python-zdaemon 4.4-1
python-zebracorn 0.0.1-2
python-zeo 5.4.0-1
python-zipp 3.15.0-1
python-zlib_wrapper 0.1.3-6
python-zodb 5.8.0-1
python-zodbpickle 2.6-1
python-zodburi 2.5.0-2
python-zope-event 4.6-1
python-zope-interface 6.0-1
python-zstandard 0.20.0-1
python2 2.7.18-8
python2-ailment 9.1.12332-1
python2-alembic 1.4.2-2
python2-alexa-top-sites 5.98d6109-6
python2-altgraph 0.17.2-1
python2-amqp 2.5.2-2
python2-ana 0.06-5
python2-anyjson 0.3.3-12
python2-apache-log-parser 1.7.0-6
python2-api-dnsdumpster 76.fa952c6-2
python2-apipkg 1.5-9
python2-appdirs 1.4.4-6
python2-apsw 3.33.0-4
python2-archinfo 7.8.9.26-1
python2-argcomplete 1.10.0-4
python2-argparse 1.4.0-6
python2-arrow 0.15.4-1
python2-ascii_graph 1.5.1-6
python2-asn1crypto 1.4.0-4
python2-atomicwrites 1.4.0-7
python2-attrs 21.2.0-4
python2-autobahn 19.11.1-3
python2-automat 20.2.0-6
python2-awake 1.0-7
python2-babel 2.8.1-1
python2-backoff 2.2.1-1
python2-backports 1.0-4
python2-backports-abc 0.5-4
python2-backports-os 0.1.1-3
python2-backports.entry-points-selectable 66.d4b54f4-1
python2-backports.functools_lru_cache 1.6.4-3
python2-backports.shutil_get_terminal_size 1.0.0-6
python2-bcrypt 3.1.7-5
python2-beaker 1.11.0-4
python2-beautifulsoup3 3.2.1-6
python2-beautifulsoup4 4.9.3-4
python2-billiard 3.6.1.0-2
python2-binaryornot 0.4.4-6
python2-bintrees 2.2.0-2
python2-biplist 1.0.3-5
python2-bitstring 3.1.9-2
python2-blessings 1.7-5
python2-blinker 1.4-7
python2-bluepy 1.3.0-3
python2-boto 2.49.0.20190327-2
python2-boto3 1.10.19-2
python2-botocore 1.13.14-3
python2-bottle 0.12.19-3
python2-cachecontrol 0.12.6-6
python2-cachetools 3.1.1-4
python2-cairo 1.18.2-6
python2-capstone 4.0.1-4
python2-celery 4.3.0-4
python2-cement 1:2.10.12-5
python2-censys 1:2.1.9-1
python2-cerberus 1.3.2-1
python2-certifi 2019.9.11-1
python2-cffi 1.14.6-3
python2-cfscrape 1:2.1.1-3
python2-chardet 4.0.0-3
python2-cjson 1.2.1-3
python2-clamd 1.0.2-7
python2-claripy 7.8.9.26-1
python2-cle 7.8.9.26-1
python2-clearbit 0.1.7-7
python2-click 7.1.2-4
python2-click-plugins 1.1.1-5
python2-cliff 2.18.0-2
python2-clint 0.5.1-9
python2-cluster 1.4.1.post3-2
python2-cmd2 0.8.9-2
python2-coding 0.3-4
python2-colorama 0.4.4-4
python2-colorclass 2.2.0-5
python2-colored 1.4.3-2
python2-coloredlogs 15.0.1-2
python2-colorizer 0.1.7-8
python2-colorlog 1:4.1.0-1
python2-commonmark 0.9.1-1
python2-configobj 5.0.6-7
python2-configparser 4.0.2-3
python2-constantly 15.1.0-9
python2-contextlib2 0.6.0.post1-6
python2-cookiecutter 1.7.3-2
python2-cooldict 1.04-5
python2-couchdb 1.2-4
python2-coverage 5.5-3
python2-coveralls 2.1.2-5
python2-crcmod 1.7-6
python2-crochet 1.12.0-3
python2-cryptography 3.3.2-3
python2-cssselect 1.1.0-7
python2-cycler 0.10.0-6
python2-cymon 0.1-5
python2-daemon 2.2.4-4
python2-darts.util.lru 7.5ef01b1-5
python2-dateparser 1.1.0-2
python2-dateutil 2.8.2-2
python2-decorator 4.4.2-4
python2-defusedxml 0.7.1-2
python2-demjson 2.2.4-8
python2-deprecated 1.2.7-2
python2-dicttoxml 1.7.4-7
python2-dis3 0.1.3-5
python2-distlib 0.3.3-2
python2-distorm 3.5.2-1
python2-distro 1.6.0-2
python2-distutils-extra 2.39-6
python2-django 1.11.27-2
python2-django-nose 1.4.7-3
python2-dnsknife 0.12-4
python2-dnslib 0.9.10-1
python2-dnspython 1.16.0-4
python2-docopt 0.6.2-6
python2-docutils 0.17.1-2
python2-docx2txt 0.8-4
python2-dpkt 1.9.8-1
python2-easygui 0.98.1-3
python2-ecdsa 0.18.0-1
python2-editor 1.0.4-4
python2-editorconfig 0.12.2-5
python2-egghatch 0.2.3-1
python2-elasticsearch 7.6.0-2
python2-elfesteem 0.2.1-6
python2-elixir 0.7.1-14
python2-emailprotectionslib 0.8.3-6
python2-entrypoints 0.3-5
python2-enum34 1.1.10-1
python2-esmre 0.3.1-5
python2-eventlet 0.25.1-4
python2-exiv2 0.3.2-21
python2-exrex 146.239e4da-1
python2-exscript 1802.a48030c-1
python2-facepy 1.0.12-3
python2-fake-useragent 0.1.11-6
python2-filebytes 0.10.0-1
python2-filelock 3.0.12-6
python2-filemagic 1.6-8
python2-flake8 1:3.8.4-3
python2-flake8-per-file-ignores 0.8.1-5
python2-flask 1.1.2-2
python2-flask-babel 0.12.2-4
python2-flask-bcrypt 1.0.1-1
python2-flask-cors 3.0.10-2
python2-flask-login 0.4.1-4
